"genotype","food","no-fly","tube-w","tube+fly","fly_total","fly_per","BCA","mBCA","TAG","GLC","GLY","NADH","NAD+","NADPH","NADP+","NADH/BCA","NAD+/BCA","NADPH/BCA","NADP+/BCA","TAG/BCA","Glc/BCA","Glc/TAG","GLY/BCA"
"20","IV",15,1.0422,1.0532,10.9999999999999,0.7333333333333266,1397.796,1624.245,256.578,436.31,679.775,9.728999999999999,14.909,1.036,1.009,0.005989859904140077,0.009179033951158848,0.0006378348094037538,0.0006212117014366675,0.1579675479992242,0.2686232680414593,1.700496535166694,0.4185175266046686
"20","IV",15,1.0168,1.0276,10.80000000000014,0.7200000000000095,2799.467,2443.264,306.566,596.055,644.944,6.192,12.899,1.036,1.006,0.002534314752724225,0.005279413112950544,0.0004240229463537301,0.0004117442896060352,0.125473956150461,0.2439584915915758,1.944295844940404,0.2639681999161777
"20","IV",15,1.0168,1.0276,10.80000000000014,0.7200000000000095,2087.061,2443.264,179.644,436.794,711.236,8.173,13.75,0.967,0.9379999999999999,0.003345115386630344,0.005627717676026823,0.0003957820358340318,0.0003839126676445934,0.07352623375943,0.178774786515088,2.431442185656075,0.2911007570201173
"20","V",13,1.0027,1.012,9.300000000000086,0.715384615384622,2333.345,2051.523,795.116,584.437,649.438,5.332,15.169,0.6,0.76,0.002599044709710785,0.007394018980045557,0.0002924656462540269,0.0003704564852551007,0.3875735246448614,0.2848795748329412,0.7350336303130612,0.3165638406198711
"20","V",13,1.0027,1.012,9.300000000000086,0.715384615384622,1769.701,2051.523,463.167,437.763,715.73,7.022,15.431,0.596,0.613,0.003422822946659628,0.007521728978909814,0.000290515875279,0.0002988024019228641,0.2257673932975648,0.2133843978351693,0.9451515328164571,0.3488773949889911
"20","V",13,1.017,1.026,9.000000000000119,0.6923076923077015,2325.08,2065.573,504.954,674.475,523.596,2.858,11.926,0.535,0.5,0.001383635436752901,0.00577370056638037,0.0002590080331220441,0.0002420635823570506,0.2444619483310442,0.3265316694205434,1.335715728561414,0.2534870469356445
"20","V",13,1.017,1.026,9.000000000000119,0.6923076923077015,1806.065,2065.573,469.416,513.7619999999999,652.809,5.809,11.721,0.508,0.484,0.002812294699824214,0.005674454497613979,0.0002459365996747634,0.0002343175477216249,0.2272570371514345,0.248726140397846,1.094470576205327,0.3160425702698477
"22","IV",15,1.0223,1.0323,10.00000000000001,0.6666666666666673,2116.813,1887.885,83.965,184.592,152.808,2.683,11.165,0.416,0.415,0.00142116707320626,0.005914025483543754,0.0002203524049399195,0.000219822711658814,0.04447569634802968,0.09777714214584046,2.198439826118026,0.08094137089918083
"22","IV",15,1.0223,1.0323,10.00000000000001,0.6666666666666673,1658.956,1887.885,61.705,111.981,128.09,3.951,10.359,0.365,0.399,0.00209281815364813,0.00548709269897266,0.0001933380476035352,0.0002113476191611248,0.03268472391061956,0.05931558331148348,1.814780001620614,0.0678484123768132
"22","IV",15,1.0223,1.0323,10.00000000000001,0.6666666666666673,2057.308,1897.802,65.61,97.459,116.854,3.803,10.936,0.435,0.48,0.002003897139954537,0.005762455725096718,0.0002292125311281156,0.0002529241722793,0.03457157279842681,0.05135361855451728,1.485429050449627,0.06157333589067775
