genotype,food,no_fly,tube_w,tube_p_fly,fly_total,fly_per,BCA,mBCA,TAG,GLC,Glycogen,NADH,NAD,NADPH,NADP,NADH_BCA,NAD_BCA,NADPH_BCA,NADP_BCA,TAG_BCA,Glc_BCA,Glc_TAG,Gly_BCA,Block
OO,IV,15,1.027,1.0376,10.6,0.706666666667,1055.906,1141.75,80.115,309.438,424.719,1.131,11.845,0.409,0.916,0.000990584628859,0.0103744252244,0.000358222027589,0.000802277206043,0.0701686008321,0.271020801401,3.86242276727,0.371989489818,3
OO,IV,15,1.027,1.0376,10.6,0.706666666667,1227.594,1141.75,72.162,284.613,419.101,1.085,10.61,0.385,0.829,0.000950295598861,0.00929275235384,0.000337201664112,0.000726078388439,0.0632029778848,0.24927786293,3.94408414401,0.367068973068,3
OO,V,15,1.0277,1.0384,10.7,0.713333333333,1029.493,1148.354,418.126,799.73,921.348,0.808,10.246,0.357,0.477,0.000703615783983,0.00892233579541,0.000310879746141,0.000415377139802,0.364108976849,0.696414171937,1.9126531237,0.802320538789,3
OO,V,15,1.0277,1.0384,10.7,0.713333333333,1267.215,1148.354,378.36,671.468,913.483,0.781,9.513,0.338,0.426,0.000680103870409,0.00828403088246,0.000294334325478,0.000370965747496,0.329480282213,0.584722132722,1.77468019875,0.795471605446,3
OO,V,15,1.024,1.0346,10.6,0.706666666667,1214.387,1405.8855,469.822,685.949,887.64,0.777,10.927,0.342,0.494,0.000552676587105,0.00777232569793,0.000243263053784,0.000351379966576,0.334182264487,0.487912422455,1.46001890078,0.63137431889,3
OO,V,15,1.024,1.0346,10.6,0.706666666667,1597.384,1405.8855,680.581,625.956,926.966,0.754,9.781,0.327,0.431,0.00053631679109,0.00695718107911,0.0002325936216,0.000306568351406,0.484094188325,0.44523967279,0.919737694705,0.659346724893,3
O2,IV,13,1.0227,1.0334,10.7,0.823076923077,1597.384,1749.262,211.343,588.718,719.101,1.067,13.748,0.663,0.761,0.000609971519418,0.00785931438515,0.000379016979732,0.000435040605695,0.120818379408,0.336552214591,2.78560444396,0.411088218917,3
O2,IV,13,1.0227,1.0334,10.7,0.823076923077,1901.14,1749.262,179.53,539.068,897.753,1.019,12.16,0.63,0.631,0.000582531376089,0.00695150297668,0.000360151881193,0.000360723550846,0.102631852747,0.308168816335,3.00266250766,0.513218145709,3
O2,IV,13,1.0286,1.0392,10.6,0.815384615385,1504.937,1703.0385,247.132,588.718,685.393,1.063,14.87,0.593,0.951,0.000624178490386,0.00873145263598,0.000348201171025,0.000558413682368,0.145112397635,0.345686841489,2.38220060534,0.402453027339,3
O2,IV,13,1.0286,1.0392,10.6,0.815384615385,1901.14,1703.0385,191.46,534.931,760.674,1.002,12.809,0.562,0.808,0.000588360157448,0.00752126273129,0.000329998411662,0.000474446114988,0.112422590564,0.314103879625,2.79395696229,0.446656960486,3
O2,V,13,1.0355,1.0456,10.1,0.776923076923,1148.354,1333.2485,545.377,659.055,1294.382,0.707,10.817,0.299,0.443,0.000530283739303,0.00811326620656,0.000224264268814,0.000332271140751,0.409058776365,0.494322701282,1.20843929979,0.970848270221,3
O2,V,13,1.0355,1.0456,10.1,0.776923076923,1518.143,1333.2485,386.313,586.649,1369.663,0.665,9.307,0.284,0.37,0.000498781734988,0.00698069414667,0.000213013552987,0.000277517657061,0.289753185546,0.440014745938,1.51858467098,1.02731261276,3
O2,V,13,1.0096,1.0198,10.2,0.784615384615,1227.594,1300.2315,851.575,669.399,1730.337,0.67,10.308,0.326,0.343,0.000515292853619,0.00792781900762,0.000250724582507,0.0002637991773,0.654941062419,0.514830628238,0.786071690691,1.33079147829,3
O2,V,13,1.0096,1.0198,10.2,0.784615384615,1372.869,1300.2315,545.377,570.1,1832.584,0.644,9.606,0.303,0.29,0.000495296414523,0.00738791515203,0.000233035424845,0.000223037205298,0.419446075564,0.438460381863,1.04533194469,1.40942901322,3
2O,IV,15,1.0015,1.0124,10.9,0.726666666667,1042.699,1022.889,406.196,764.561,1110.112,1.596,12.877,0.627,0.712,0.00156028660001,0.012588853727,0.000612969735719,0.000696067706271,0.397106626428,0.747452558391,1.88224650169,1.08527122689,3
2O,IV,15,1.0015,1.0124,10.9,0.726666666667,1003.079,1022.889,362.453,700.43,1131.461,1.541,12.127,0.594,0.672,0.00150651732495,0.0118556363398,0.000580708170681,0.000656962778953,0.354342455535,0.684756606044,1.93247124455,1.10614250422,3
2O,IV,15,1.0109,1.0218,10.9,0.726666666667,1306.835,1240.801,394.266,712.843,1015.73,1.127,12.906,0.596,0.776,0.000908284245419,0.0104013455824,0.000480334880452,0.000625402461797,0.317751194591,0.574502277158,1.8080255462,0.818608302218,3
2O,IV,15,1.0109,1.0218,10.9,0.726666666667,1174.767,1240.801,354.5,667.33,1153.933,1.047,12.101,0.575,0.744,0.000843809764821,0.0097525711214,0.000463410329295,0.000599612669558,0.285702542148,0.537821939215,1.88245416079,0.929990385243,3
2O,V,15,1.0221,1.0326,10.5,0.7,1412.489,1531.35,521.517,677.674,1373.034,0.702,10.554,0.26,0.498,0.000458419042022,0.00689195807621,0.000169784830378,0.000325203252033,0.34056028994,0.442533712084,1.29942839831,0.896616710745,3
