"genotype","food","no-fly","tube-w","tube+fly","fly_total","fly_per","BCA","mBCA","TAG","GLC","Glycogen","NADH","NAD+","NADPH","NADP+","NADH/BCA","NAD+/BCA","NADPH/BCA","NADP+/BCA","TAG/BCA","Glc/BCA","Glc/TAG","Gly/BCA"
"02","IV",15,1.0222,1.0354,13.2000000000001,0.8800000000000067,1972.356,1841.239,407.726,707.391,1238.202,1.099,6.39,1.227,1.516,0.0005968806874066864,0.003470489165176275,0.0006663990932192942,0.0008233586188430725,0.2214411056902444,0.384192926610831,1.734966619739727,0.6724830399529882
"02","IV",15,1.0222,1.0354,13.2000000000001,0.8800000000000067,1710.122,1841.239,362.352,698.188,1183.146,1.084,9.707000000000001,1.185,1.369,0.0005887339992255216,0.005271993478304555,0.0006435883663120323,0.0007435210746676559,0.1967979170547658,0.3791946618554137,1.926822537201395,0.6425814356528402
"02","V",15,1.009,1.0219,12.90000000000013,0.8600000000000089,2565.234,2479.7225,976.962,654.473,802.247,0.731,3.89,0.5,1.076,0.000294791050208239,0.001568723919712791,0.0002016354652587135,0.0004339195212367514,0.3939803748201664,0.2639299357085319,0.6699063013709847,0.3235228941948141
"02","V",15,1.009,1.0219,12.90000000000013,0.8600000000000089,2394.211,2479.7225,882.0890000000001,665.977,1003.371,0.672,7.669,0.468,0.92,0.0002709980653077109,0.003092684766138147,0.0001887307954821558,0.0003710092560760327,0.3557208518291866,0.2685691644932044,0.7549997789338717,0.4046303568242011
"02","V",15,1.0002,1.0132,13.00000000000012,0.8666666666666748,2736.256,2599.438,1282.204,470.41,964.045,0.892,3.376,0.655,0.828,0.0003431510965062448,0.001298742266597626,0.0002519775428381058,0.0003185303900304604,0.4932620050949474,0.180966039582402,0.3668760977192397,0.370866702725743
"02","V",15,1.0002,1.0132,13.00000000000012,0.8666666666666748,2462.62,2599.438,1162.582,486.516,1189.888,0.883,6.915,0.633,0.781,0.0003396888096580876,0.002660190395000765,0.0002435141749870549,0.0003004495587123063,0.4472435965004744,0.1871619942464487,0.418478868587334,0.4577481747977832
"20","IV",15,1.0189,1.0316,12.70000000000016,0.846666666666677,2633.643,2559.533,424.226,562.442,1310.112,1.45,4.572,1.357,1.179,0.000566509593742296,0.001786263353510191,0.0005301748404884797,0.0004606309041532186,0.1657435164930478,0.2197439923611065,1.32580747054636,0.5118558737082116
"20","IV",15,1.0189,1.0316,12.70000000000016,0.846666666666677,2485.423,2559.533,378.852,514.125,1246.067,1.099,4.839,1.257,1.223,0.0004293752024295057,0.001890579258013083,0.0004911052133338386,0.0004778215401012607,0.1480160638679009,0.2008667206087986,1.357060276836337,0.4868337309970218
"20","IV",15,1.0017,1.0141,12.39999999999997,0.8266666666666644,2736.256,2656.4455,552.097,615.36,1164.045,0.983,9.972,1.483,0.849,0.00037004335304451,0.003753888419694664,0.0005582647940640982,0.0003196000068512605,0.207832985845183,0.2316478918916274,1.114586748343135,0.4381964546232927
"20","IV",15,1.0017,1.0141,12.39999999999997,0.8266666666666644,2576.635,2656.4455,440.725,567.043,1228.09,0.979,5.863,1.398,0.867,0.0003685375815163534,0.00220708461739569,0.0005262671490907681,0.0003263759787279657,0.1659077891867159,0.2134593011601405,1.286614101764139,0.4623057390034917
"20","V",15,1.0394,1.0509,11.49999999999984,0.7666666666666563,2394.211,2308.7,915.088,435.899,1840.449,0.77,7.555,0.673,0.765,0.0003335210291506043,0.00327240438341924,0.0002915060423615022,0.0003313553081820939,0.3963650539264521,0.1888071208905445,0.476346537163639,0.7971797981548058
"20","V",15,1.0394,1.0509,11.49999999999984,0.7666666666666563,2223.189,2308.7,824.341,435.899,1825.843,0.778,6.895,0.623,0.828,0.000336986182700221,0.002986529215575865,0.000269848832676398,0.0003586433923853251,0.3570585177805692,0.1888071208905445,0.5287848111400501,0.7908532940615932
"20","V",15,1.0115,1.0231,11.59999999999983,0.7733333333333222,2553.832,2428.4155,910.963,472.711,1817.978,0.654,4.324,0.947,0.428,0.0002693114090237029,0.00178058491226069,0.0003899662145954841,0.0001762466101867658,0.3751264970924457,0.1946582040841034,0.5189135014265124,0.748627242743262
"20","V",15,1.0115,1.0231,11.59999999999983,0.7733333333333222,2302.999,2428.4155,750.092,447.403,1769.663,0.797,6.924,0.886,0.423,0.0003281975428010569,0.002851241890030763,0.0003648469547324171,0.0001741876544602849,0.3088812437575036,0.1842365937789476,0.5964641670621738,0.728731553558277
"22","IV",15,1.0098,1.0221,12.29999999999998,0.8199999999999985,2861.672,2781.8615,382.977,514.125,941.573,0.847,9.292,1.054,0.909,0.0003044723829708992,0.003340209424516641,0.0003788829889626066,0.0003267596176157584,0.1376693268158749,0.1848132985772297,1.342443540995935,0.3384686836494196
"22","IV",15,1.0098,1.0221,12.29999999999998,0.8199999999999985,2702.051,2781.8615,349.977,470.41,1014.607,0.904,8.303000000000001,1.02,0.9370000000000001,0.0003249622599831084,0.002984692084778484,0.000366660957060587,0.0003368248203585981,0.1258067664403853,0.1690990007949713,1.344116899110513,0.3647223271180107
"22","IV",15,1.035,1.0481,13.10000000000011,0.8733333333333407,2667.847,2565.2335,490.224,465.809,777.528,0.921,9.472,1.314,0.402,0.0003590316437080679,0.003692451388928142,0.0005122340714792629,0.0001567108803155736,0.1911030711239347,0.1815854190271568,0.9501962368223507,0.3031022322139486
"22","IV",15,1.035,1.0481,13.10000000000011,0.8733333333333407,2462.62,2565.2335,444.85,419.793,886.5170000000001,0.905,8.766,1.223,0.41,0.0003527943947402838,0.003417232778224672,0.0004767597179749914,0.0001598295047994656,0.1734150127074202,0.1636470909958099,0.9436731482522198,0.3455892026983118
